time,n_bulks,n_features,method
4.170655965805054,100,5000,esda
0.0361478328704834,100,5000,sc
4.168424606323242,100,5000,esda
0.03211474418640137,100,5000,sc
4.147995710372925,100,5000,esda
0.03263688087463379,100,5000,sc
4.190988779067993,100,5000,esda
0.0336461067199707,100,5000,sc
4.1818482875823975,100,5000,esda
0.032602548599243164,100,5000,sc
4.174893617630005,100,5000,esda
0.06392931938171387,100,10000,sc
8.270768642425537,100,10000,esda
0.06165122985839844,100,10000,sc
8.216856479644775,100,10000,esda
0.06231260299682617,100,10000,sc
8.26266360282898,100,10000,esda
0.06141161918640137,100,10000,sc
8.409585952758789,100,10000,esda
0.06425905227661133,100,10000,sc
8.346256732940674,100,10000,esda
0.062151193618774414,100,10000,sc
8.330787420272827,100,10000,esda
0.06162858009338379,100,10000,sc
8.26659870147705,100,10000,esda
0.06139183044433594,100,10000,sc
8.26038146018982,100,10000,esda
0.005094051361083984,500,1,sc
0.0035851001739501953,500,1,esda
0.0050623416900634766,500,1,sc
0.0038042068481445312,500,1,esda
0.00494837760925293,500,1,sc
0.0037376880645751953,500,1,esda
0.004914045333862305,500,1,sc
0.003621339797973633,500,1,esda
0.004873991012573242,500,1,sc
0.003699779510498047,500,1,esda
0.004836559295654297,500,1,sc
0.003576040267944336,500,1,esda
0.00515437126159668,500,1,sc
0.003613710403442383,500,1,esda
0.004872560501098633,500,1,sc
0.003618478775024414,500,1,esda
0.0052525997161865234,500,10,sc
0.029891490936279297,500,10,esda
0.005525350570678711,500,10,sc
0.031124353408813477,500,10,esda
0.005229473114013672,500,10,sc
0.030077219009399414,500,10,esda
0.005166769027709961,500,10,sc
0.02999401092529297,500,10,esda
0.0054666996002197266,500,10,sc
0.03121352195739746,500,10,esda
0.005282402038574219,500,10,sc
0.030591964721679688,500,10,esda
0.005188465118408203,500,10,sc
0.029885530471801758,500,10,esda
0.005627870559692383,500,10,sc
0.031007051467895508,500,10,esda
0.008298397064208984,500,100,sc
0.29129672050476074,500,100,esda
0.00762629508972168,500,100,sc
0.2916409969329834,500,100,esda
0.007833719253540039,500,100,sc
0.29540514945983887,500,100,esda
0.0076143741607666016,500,100,sc
0.291426420211792,500,100,esda
0.007677793502807617,500,100,sc
0.29476404190063477,500,100,esda
0.007599592208862305,500,100,sc
0.29239606857299805,500,100,esda
0.007464885711669922,500,100,sc
0.29270291328430176,500,100,esda
0.007367372512817383,500,100,sc
0.2924950122833252,500,100,esda
0.018289804458618164,500,500,sc
1.4562699794769287,500,500,esda
0.017638206481933594,500,500,sc
1.4450783729553223,500,500,esda
0.017688751220703125,500,500,sc
1.4481325149536133,500,500,esda
0.017754793167114258,500,500,sc
1.4477524757385254,500,500,esda
0.017685651779174805,500,500,sc
1.4509787559509277,500,500,esda
0.017658710479736328,500,500,sc
1.4498348236083984,500,500,esda
0.017661333084106445,500,500,sc
1.4536595344543457,500,500,esda
0.017870426177978516,500,500,sc
1.4489386081695557,500,500,esda
0.03088688850402832,500,1000,sc
2.8981149196624756,500,1000,esda
0.03060626983642578,500,1000,sc
2.9026262760162354,500,1000,esda
0.030928850173950195,500,1000,sc
2.9086716175079346,500,1000,esda
0.030931949615478516,500,1000,sc
2.9057652950286865,500,1000,esda
0.031127452850341797,500,1000,sc
2.908397674560547,500,1000,esda
0.030862092971801758,500,1000,sc
2.9033124446868896,500,1000,esda
0.03131556510925293,500,1000,sc
2.897789716720581,500,1000,esda
0.030823230743408203,500,1000,sc
2.9060473442077637,500,1000,esda
0.05749344825744629,500,2000,sc
5.865226745605469,500,2000,esda
0.056713104248046875,500,2000,sc
5.794858932495117,500,2000,esda
0.056769371032714844,500,2000,sc
5.806358337402344,500,2000,esda
0.05698513984680176,500,2000,sc
5.81980037689209,500,2000,esda
0.05676555633544922,500,2000,sc
5.808294773101807,500,2000,esda
0.05640459060668945,500,2000,sc
5.820021867752075,500,2000,esda
0.057268381118774414,500,2000,sc
5.814155578613281,500,2000,esda
0.05729556083679199,500,2000,sc
5.791740894317627,500,2000,esda
0.13924503326416016,500,5000,sc
14.517204999923706,500,5000,esda
0.13847804069519043,500,5000,sc
14.507488250732422,500,5000,esda
0.13753294944763184,500,5000,sc
14.492125272750854,500,5000,esda
0.1379241943359375,500,5000,sc
14.737322568893433,500,5000,esda
0.13848185539245605,500,5000,sc
14.519206047058105,500,5000,esda
0.13815617561340332,500,5000,sc
14.437244892120361,500,5000,esda
0.13913559913635254,500,5000,sc
14.493584632873535,500,5000,esda
0.1387035846710205,500,5000,sc
14.888545513153076,500,5000,esda
0.2815718650817871,500,10000,sc
29.028234004974365,500,10000,esda
0.28229188919067383,500,10000,sc
29.33957314491272,500,10000,esda
0.28568148612976074,500,10000,sc
28.994792461395264,500,10000,esda
0.2816281318664551,500,10000,sc
29.038459062576294,500,10000,esda
0.28035569190979004,500,10000,sc
28.97385263442993,500,10000,esda
0.2822144031524658,500,10000,sc
28.973078727722168,500,10000,esda
0.28373289108276367,500,10000,sc
28.822824716567993,500,10000,esda
0.2862274646759033,500,10000,sc
28.88875436782837,500,10000,esda
0.01014852523803711,1000,1,sc
