time,n_bulks,n_features,method
0.005759239196777344,100,1,sc
0.023500680923461914,100,1,esda
0.005552530288696289,100,1,sc
0.0236513614654541,100,1,esda
0.005604982376098633,100,1,sc
0.023994922637939453,100,1,esda
0.005579710006713867,100,1,sc
0.023832321166992188,100,1,esda
0.0059773921966552734,100,1,sc
0.023910045623779297,100,1,esda
0.005708217620849609,100,1,sc
0.023950576782226562,100,1,esda
0.005701303482055664,100,1,sc
0.023845911026000977,100,1,esda
0.005704164505004883,100,1,sc
0.023955345153808594,100,1,esda
0.00569915771484375,100,10,sc
0.2148444652557373,100,10,esda
0.005764484405517578,100,10,sc
0.21722865104675293,100,10,esda
0.005939483642578125,100,10,sc
0.21673154830932617,100,10,esda
0.005861043930053711,100,10,sc
0.21714520454406738,100,10,esda
0.005826473236083984,100,10,sc
0.21769189834594727,100,10,esda
0.005864858627319336,100,10,sc
0.21786880493164062,100,10,esda
0.0061054229736328125,100,10,sc
0.22533011436462402,100,10,esda
0.006024599075317383,100,10,sc
0.22200608253479004,100,10,esda
0.0064737796783447266,100,100,sc
2.1965184211730957,100,100,esda
0.0066263675689697266,100,100,sc
2.1777472496032715,100,100,esda
0.006363630294799805,100,100,sc
2.1723053455352783,100,100,esda
0.0065305233001708984,100,100,sc
2.1675286293029785,100,100,esda
0.006337642669677734,100,100,sc
2.171764850616455,100,100,esda
0.0065424442291259766,100,100,sc
2.1616811752319336,100,100,esda
0.006468772888183594,100,100,sc
2.1757936477661133,100,100,esda
0.006285667419433594,100,100,sc
2.1680266857147217,100,100,esda
0.0076770782470703125,100,500,sc
10.782081365585327,100,500,esda
0.007739067077636719,100,500,sc
10.648009538650513,100,500,esda
0.007451295852661133,100,500,sc
10.639344215393066,100,500,esda
0.007657527923583984,100,500,sc
10.618013858795166,100,500,esda
0.007966995239257812,100,500,sc
10.64396071434021,100,500,esda
0.007467508316040039,100,500,sc
10.662417888641357,100,500,esda
0.00741267204284668,100,500,sc
10.651314496994019,100,500,esda
0.0077056884765625,100,500,sc
10.610519409179688,100,500,esda
0.009007453918457031,100,1000,sc
21.342493772506714,100,1000,esda
0.009645700454711914,100,1000,sc
21.735194444656372,100,1000,esda
0.010318279266357422,100,1000,sc
21.81933355331421,100,1000,esda
0.009494543075561523,100,1000,sc
21.79414987564087,100,1000,esda
0.009592056274414062,100,1000,sc
21.836475610733032,100,1000,esda
0.009672880172729492,100,1000,sc
