time,n_bulks,n_features,method
7.8411784172058105,500,2000,esda
0.04323172569274902,500,2000,sc
7.780132293701172,500,2000,esda
0.042926788330078125,500,2000,sc
7.850631475448608,500,2000,esda
0.04316973686218262,500,2000,sc
7.972105026245117,500,2000,esda
0.04228067398071289,500,2000,sc
7.827334880828857,500,2000,esda
0.042531728744506836,500,2000,sc
7.903002738952637,500,2000,esda
0.0998687744140625,500,5000,sc
19.71801471710205,500,5000,esda
0.0997002124786377,500,5000,sc
19.68300747871399,500,5000,esda
0.09919977188110352,500,5000,sc
19.769681930541992,500,5000,esda
0.09823822975158691,500,5000,sc
19.715936422348022,500,5000,esda
0.09803080558776855,500,5000,sc
19.687617301940918,500,5000,esda
0.09930300712585449,500,5000,sc
19.42657446861267,500,5000,esda
0.09948110580444336,500,5000,sc
19.501843690872192,500,5000,esda
0.09951496124267578,500,5000,sc
19.521749019622803,500,5000,esda
0.19281649589538574,500,10000,sc
38.83165884017944,500,10000,esda
0.19293904304504395,500,10000,sc
39.53371739387512,500,10000,esda
0.19187355041503906,500,10000,sc
38.969970703125,500,10000,esda
0.19169020652770996,500,10000,sc
39.2013258934021,500,10000,esda
0.1897437572479248,500,10000,sc
39.295814752578735,500,10000,esda
0.19400453567504883,500,10000,sc
39.564117670059204,500,10000,esda
0.19162273406982422,500,10000,sc
39.420608043670654,500,10000,esda
0.1909806728363037,500,10000,sc
38.93419051170349,500,10000,esda
0.01458120346069336,1000,1,sc
0.01379537582397461,1000,1,esda
0.015000581741333008,1000,1,sc
0.013736486434936523,1000,1,esda
0.014326810836791992,1000,1,sc
0.013891935348510742,1000,1,esda
0.014580726623535156,1000,1,sc
0.013643741607666016,1000,1,esda
0.014572381973266602,1000,1,sc
0.013630867004394531,1000,1,esda
0.014446735382080078,1000,1,sc
0.013985633850097656,1000,1,esda
0.014682531356811523,1000,1,sc
0.013649463653564453,1000,1,esda
0.014506816864013672,1000,1,sc
0.013626337051391602,1000,1,esda
0.014889240264892578,1000,10,sc
0.1265413761138916,1000,10,esda
0.014794588088989258,1000,10,sc
0.12666630744934082,1000,10,esda
0.014792919158935547,1000,10,sc
0.12696456909179688,1000,10,esda
0.015168190002441406,1000,10,sc
0.1270763874053955,1000,10,esda
0.01518559455871582,1000,10,sc
0.12715935707092285,1000,10,esda
0.01491403579711914,1000,10,sc
0.1273033618927002,1000,10,esda
0.014950275421142578,1000,10,sc
0.12648296356201172,1000,10,esda
0.014858484268188477,1000,10,sc
0.12741899490356445,1000,10,esda
0.018979787826538086,1000,100,sc
1.259664535522461,1000,100,esda
0.01835322380065918,1000,100,sc
1.2619435787200928,1000,100,esda
0.018839359283447266,1000,100,sc
1.2648839950561523,1000,100,esda
0.018564939498901367,1000,100,sc
1.2738568782806396,1000,100,esda
0.018584251403808594,1000,100,sc
1.2568840980529785,1000,100,esda
0.01888895034790039,1000,100,sc
1.2662501335144043,1000,100,esda
0.018633365631103516,1000,100,sc
1.2595150470733643,1000,100,esda
0.018372297286987305,1000,100,sc
1.2616260051727295,1000,100,esda
0.03427767753601074,1000,500,sc
6.185726642608643,1000,500,esda
0.03474712371826172,1000,500,sc
6.2333595752716064,1000,500,esda
0.03418469429016113,1000,500,sc
6.236364126205444,1000,500,esda
0.03353166580200195,1000,500,sc
6.268408298492432,1000,500,esda
0.03544139862060547,1000,500,sc
6.181994438171387,1000,500,esda
0.03466963768005371,1000,500,sc
6.2476232051849365,1000,500,esda
0.03307509422302246,1000,500,sc
6.240823984146118,1000,500,esda
0.033594608306884766,1000,500,sc
6.240527868270874,1000,500,esda
0.05374622344970703,1000,1000,sc
12.438217401504517,1000,1000,esda
0.05442643165588379,1000,1000,sc
12.471729040145874,1000,1000,esda
0.0522921085357666,1000,1000,sc
12.41021990776062,1000,1000,esda
0.0527951717376709,1000,1000,sc
12.404410123825073,1000,1000,esda
0.0529484748840332,1000,1000,sc
12.397710800170898,1000,1000,esda
0.05385279655456543,1000,1000,sc
12.38504695892334,1000,1000,esda
0.05369114875793457,1000,1000,sc
12.38717246055603,1000,1000,esda
0.05322456359863281,1000,1000,sc
12.451759338378906,1000,1000,esda
0.09195470809936523,1000,2000,sc
24.739145517349243,1000,2000,esda
0.09187650680541992,1000,2000,sc
24.729819774627686,1000,2000,esda
0.09007501602172852,1000,2000,sc
24.744919061660767,1000,2000,esda
0.09104657173156738,1000,2000,sc
24.72683835029602,1000,2000,esda
0.09194755554199219,1000,2000,sc
24.697388410568237,1000,2000,esda
0.09099507331848145,1000,2000,sc
24.677939891815186,1000,2000,esda
0.09048938751220703,1000,2000,sc
24.73891282081604,1000,2000,esda
0.09048104286193848,1000,2000,sc
24.7079758644104,1000,2000,esda
